Gruppo;Giornata;Casa;Tras;Gol Casa;Gol Tras
Appennino;31;Marradi;Pelago;0;1
Appennino;31;Scarperia e San Piero;Pontassieve;1;0
Appennino;31;Firenzuola;Rufina;3;1
Appennino;31;Fiesole;Montemignaio;1;2
Appennino;31;Palazzolo sul Senio;Reggello;0;1
Appennino;31;Bagno a Ripoli;Pratovecchio Stia;1;1
Appennino;31;Borgo San Lorenzo;Dicomano;1;0
Appennino;31;Vicchio;Castel San Niccolò;1;1
Appennino;32;Dicomano;Scarperia e San Piero;0;1
Appennino;32;Castel San Niccolò;Pontassieve;3;0
Appennino;32;Pelago;Rufina;3;2
Appennino;32;Londa;Bagno a Ripoli;1;0
Appennino;32;Pratovecchio Stia;Firenzuola;2;2
Appennino;32;Montemignaio;Marradi;4;1
Appennino;32;Reggello;Fiesole;1;2
Appennino;32;Rignano sull'Arno;Borgo San Lorenzo;0;0
Appennino;32;San Godenzo;Vicchio;1;3
Appennino;33;Firenzuola;Pelago;0;0
Appennino;33;Bagno a Ripoli;San Godenzo;1;1
Appennino;33;Vicchio;Montemignaio;1;1
Appennino;33;Pontassieve;Reggello;0;0
Appennino;33;Borgo San Lorenzo;Pratovecchio Stia;3;1
Appennino;33;Marradi;Palazzolo sul Senio;0;3
Appennino;33;Scarperia e San Piero;Rignano sull'Arno;1;3
Appennino;33;Rufina;Dicomano;1;3
Appennino;33;Fiesole;Castel San Niccolò;0;1
Appennino;34;Pratovecchio Stia;Scarperia e San Piero;0;2
Appennino;34;Londa;Fiesole;0;3
Appennino;34;Reggello;Marradi;0;1
Appennino;34;Dicomano;Firenzuola;0;1
Appennino;34;Rignano sull'Arno;Bagno a Ripoli;2;3
Appennino;34;Montemignaio;Rufina;3;1
Appennino;34;San Godenzo;Pontassieve;4;1
Appennino;34;Palazzolo sul Senio;Pelago;3;2
Appennino;34;Vicchio;Borgo San Lorenzo;0;3
Appennino;35;Dicomano;Londa;0;0
Appennino;35;Firenzuola;San Godenzo;0;0
Appennino;35;Pratovecchio Stia;Montemignaio;1;0
Appennino;35;Bagno a Ripoli;Reggello;1;1
Appennino;35;Pontassieve;Palazzolo sul Senio;0;1
Appennino;35;Borgo San Lorenzo;Fiesole;1;2
Appennino;35;Marradi;Rignano sull'Arno;0;2
Appennino;35;Scarperia e San Piero;Vicchio;0;2
Appennino;35;Pelago;Castel San Niccolò;1;1
Appennino;36;Castel San Niccolò;Scarperia e San Piero;1;2
Appennino;36;San Godenzo;Pelago;2;0
Appennino;36;Fiesole;Pontassieve;1;2
Appennino;36;Vicchio;Rufina;1;2
Appennino;36;Montemignaio;Bagno a Ripoli;4;4
Appennino;36;Palazzolo sul Senio;Pratovecchio Stia;2;2
Appennino;36;Londa;Marradi;3;2
Appennino;36;Reggello;Borgo San Lorenzo;5;1
Appennino;36;Rignano sull'Arno;Dicomano;0;2
Appennino;37;Pontassieve;Londa;0;0
Appennino;37;Pratovecchio Stia;San Godenzo;0;2
Appennino;37;Scarperia e San Piero;Montemignaio;3;1
Appennino;37;Dicomano;Reggello;0;1
Appennino;37;Bagno a Ripoli;Palazzolo sul Senio;0;1
Appennino;37;Rufina;Fiesole;1;2
Appennino;37;Pelago;Rignano sull'Arno;2;2
Appennino;37;Marradi;Vicchio;2;3
Appennino;37;Firenzuola;Castel San Niccolò;2;2
Appennino;38;Montemignaio;Dicomano;0;1
Appennino;38;Londa;Pelago;1;1
Appennino;38;Palazzolo sul Senio;Rufina;1;3
Appennino;38;Vicchio;Bagno a Ripoli;2;2
Appennino;38;Rignano sull'Arno;Pratovecchio Stia;1;1
Appennino;38;Fiesole;Firenzuola;2;0
Appennino;38;Castel San Niccolò;Marradi;0;0
Appennino;38;San Godenzo;Borgo San Lorenzo;2;1
Appennino;38;Reggello;Scarperia e San Piero;1;2
Maremma;1;Arcidosso;Cingiano;1;0
Maremma;1;Capalbio;Isola del Giglio;2;1
Maremma;1;Castell'Azzara;Roccalbenga;0;1
Maremma;1;Manciano;Magliano in Toscana;2;1
Maremma;1;Orbetello;Monte Argentario;0;0
Maremma;1;Piancastagnaio;Grosseto;1;0
Maremma;1;Pitigliano;Scansano;2;1
Maremma;1;Santa Fiora;Campagnatico;0;1
Maremma;1;Sorano;Semproniano;1;2
Maremma;2;Roccalbenga;Sorano;2;1
Maremma;2;Isola del Giglio;Pitigliano;1;1
Maremma;2;Scansano;Arcidosso;2;0
Maremma;2;Campagnatico;Castell'Azzara;1;0
Maremma;2;Grosseto;Orbetello;0;0
Maremma;2;Magliano in Toscana;Santa Fiora;0;1
Maremma;2;Cingiano;Piancastagnaio;0;1
Maremma;2;Monte Argentario;Castel del Piano;1;2
Maremma;2;Semproniano;Manciano;0;2
Maremma;3;Sorano;Grosseto;2;3
Maremma;3;Capalbio;Roccalbenga;1;0
Maremma;3;Castel del Piano;Magliano in Toscana;2;2
Maremma;3;Santa Fiora;Cingiano;0;0
Maremma;3;Pitigliano;Monte Argentario;0;0
Maremma;3;Piancastagnaio;Isola del Giglio;3;0
Maremma;3;Manciano;Campagnatico;0;0
Maremma;3;Castell'Azzara;Scansano;0;0
Maremma;3;Arcidosso;Semproniano;0;0
Maremma;4;Campagnatico;Sorano;1;3
Maremma;4;Isola del Giglio;Castell'Azzara;0;1
Maremma;4;Roccalbenga;Orbetello;0;0
Maremma;4;Grosseto;Capalbio;1;1
Maremma;4;Magliano in Toscana;Piancastagnaio;0;2
Maremma;4;Monte Argentario;Arcidosso;0;0
Maremma;4;Semproniano;Castel del Piano;1;4
Maremma;4;Scansano;Santa Fiora;1;0
Maremma;4;Cingiano;Manciano;0;0
Maremma;5;Piancastagnaio;Semproniano;4;0
Maremma;5;Manciano;Roccalbenga;0;0
Maremma;5;Sorano;Orbetello;0;0
Maremma;5;Scansano;Isola del Giglio;1;2
Maremma;5;Arcidosso;Grosseto;0;2
Maremma;5;Pitigliano;Magliano in Toscana;2;1
Maremma;5;Capalbio;Monte Argentario;0;0
Maremma;5;Castel del Piano;Campagnatico;6;1
Maremma;5;Castell'Azzara;Cingiano;0;0
Maremma;6;Isola del Giglio;Magliano in Toscana;2;1
Maremma;6;Roccalbenga;Santa Fiora;0;1
Maremma;6;Grosseto;Castel del Piano;3;6
Maremma;6;Orbetello;Capalbio;1;2
Maremma;6;Cingiano;Scansano;0;1
Maremma;6;Monte Argentario;Manciano;0;0
Maremma;6;Castell'Azzara;Piancastagnaio;0;2
Maremma;6;Semproniano;Pitigliano;2;2
Maremma;6;Arcidosso;Sorano;1;0
Maremma;7;Capalbio;Castell'Azzara;0;0
Maremma;7;Castel del Piano;Arcidosso;5;0
Maremma;7;Santa Fiora;Monte Argentario;0;0
Maremma;7;Magliano in Toscana;Semproniano;1;1
Maremma;7;Pitigliano;Roccalbenga;2;0
Maremma;7;Piancastagnaio;Orbetello;2;0
Maremma;7;Cingiano;Isola del Giglio;0;2
Maremma;7;Manciano;Sorano;2;2
Maremma;7;Scansano;Campagnatico;2;0
Maremma;8;Capalbio;Castel del Piano;3;0
Maremma;8;Sorano;Piancastagnaio;0;1
Maremma;8;Roccalbenga;Scansano;2;2
Maremma;8;Campagnatico;Magliano in Toscana;0;2
Maremma;8;Orbetello;Pitigliano;0;0
Maremma;8;Monte Argentario;Cingiano;0;1
Maremma;8;Manciano;Isola del Giglio;1;0
Maremma;8;Castell'Azzara;Grosseto;2;2
Maremma;8;Arcidosso;Santa Fiora;1;2
Maremma;9;Magliano in Toscana;Roccalbenga;2;1
Maremma;9;Isola del Giglio;Semproniano;1;1
Maremma;9;Pitigliano;Sorano;3;1
Maremma;9;Piancastagnaio;Campagnatico;5;0
Maremma;9;Scansano;Manciano;0;0
Maremma;9;Cingiano;Capalbio;0;1
Maremma;9;Castel del Piano;Castell'Azzara;1;0
Maremma;9;Santa Fiora;Orbetello;1;0
Maremma;9;Grosseto;Monte Argentario;1;1
Maremma;10;Capalbio;Piancastagnaio;1;2
Maremma;10;Sorano;Castel del Piano;0;1
Maremma;10;Roccalbenga;Grosseto;1;1
Maremma;10;Campagnatico;Isola del Giglio;3;0
Maremma;10;Magliano in Toscana;Scansano;0;2
Maremma;10;Orbetello;Castell'Azzara;0;0
Maremma;10;Manciano;Santa Fiora;3;0
Maremma;10;Semproniano;Cingiano;0;1
Maremma;10;Arcidosso;Pitigliano;1;3
Maremma;11;Isola del Giglio;Roccalbenga;1;1
Maremma;11;Santa Fiora;Capalbio;0;0
Maremma;11;Grosseto;Scansano;1;1
Maremma;11;Pitigliano;Castel del Piano;1;3
Maremma;11;Piancastagnaio;Manciano;0;1
Maremma;11;Orbetello;Arcidosso;1;1
Maremma;11;Cingiano;Campagnatico;2;0
Maremma;11;Castell'Azzara;Sorano;0;2
Maremma;11;Semproniano;Monte Argentario;3;1
Maremma;12;Isola del Giglio;Santa Fiora;1;1
Maremma;12;Castel del Piano;Orbetello;2;2
Maremma;12;Sorano;Capalbio;0;0
Maremma;12;Roccalbenga;Piancastagnaio;0;1
Maremma;12;Campagnatico;Monte Argentario;0;3
Maremma;12;Magliano in Toscana;Cingiano;2;0
Maremma;12;Pitigliano;Grosseto;2;1
Maremma;12;Arcidosso;Castell'Azzara;1;0
Maremma;12;Scansano;Semproniano;2;3
Maremma;13;Capalbio;Arcidosso;0;1
Maremma;13;Sorano;Scansano;0;1
Maremma;13;Roccalbenga;Castel del Piano;1;1
Maremma;13;Grosseto;Isola del Giglio;4;0
Maremma;13;Piancastagnaio;Pitigliano;1;1
Maremma;13;Orbetello;Campagnatico;0;1
Maremma;13;Monte Argentario;Magliano in Toscana;1;0
Maremma;13;Castell'Azzara;Manciano;0;0
Maremma;13;Semproniano;Santa Fiora;1;0
Maremma;14;Castel del Piano;Piancastagnaio;0;0
Maremma;14;Santa Fiora;Grosseto;2;5
Maremma;14;Campagnatico;Semproniano;0;2
Maremma;14;Magliano in Toscana;Sorano;1;4
Maremma;14;Pitigliano;Castell'Azzara;1;0
Maremma;14;Cingiano;Orbetello;2;0
Maremma;14;Manciano;Capalbio;0;0
Maremma;14;Arcidosso;Roccalbenga;1;0
Maremma;14;Scansano;Monte Argentario;1;1
Maremma;15;Capalbio;Pitigliano;0;1
Maremma;15;Monte Argentario;Isola del Giglio;1;0
Maremma;15;Orbetello;Magliano in Toscana;2;0
Maremma;15;Piancastagnaio;Arcidosso;1;0
Maremma;15;Grosseto;Manciano;2;1
Maremma;15;Roccalbenga;Campagnatico;4;0
Maremma;15;Sorano;Santa Fiora;1;1
Maremma;15;Castel del Piano;Cingiano;2;2
Maremma;15;Castell'Azzara;Semproniano;0;2
Maremma;16;Isola del Giglio;Arcidosso;2;0
Maremma;16;Santa Fiora;Piancastagnaio;0;1
Maremma;16;Campagnatico;Pitigliano;1;5
Maremma;16;Magliano in Toscana;Grosseto;1;1
Maremma;16;Cingiano;Sorano;0;0
Maremma;16;Monte Argentario;Castell'Azzara;1;1
Maremma;16;Manciano;Orbetello;1;0
Maremma;16;Semproniano;Capalbio;1;1
Maremma;16;Scansano;Castel del Piano;0;0
Maremma;17;Capalbio;Scansano;3;1
Maremma;17;Castel del Piano;Santa Fiora;2;0
Maremma;17;Sorano;Monte Argentario;1;0
Maremma;17;Roccalbenga;Semproniano;0;1
Maremma;17;Grosseto;Campagnatico;6;0
Maremma;17;Pitigliano;Cingiano;1;0
Maremma;17;Orbetello;Isola del Giglio;2;1
Maremma;17;Castell'Azzara;Magliano in Toscana;0;1
Maremma;17;Arcidosso;Manciano;0;1
Maremma;18;Isola del Giglio;Sorano;1;4
Maremma;18;Santa Fiora;Pitigliano;1;1
Maremma;18;Campagnatico;Capalbio;0;2
Maremma;18;Magliano in Toscana;Arcidosso;0;1
Maremma;18;Cingiano;Grosseto;1;3
Maremma;18;Monte Argentario;Roccalbenga;0;1
Maremma;18;Manciano;Castel del Piano;2;0
Maremma;18;Semproniano;Orbetello;0;0
Maremma;18;Scansano;Piancastagnaio;0;1
Maremma;19;Arcidosso;Campagnatico;1;0
Maremma;19;Castel del Piano;Isola del Giglio;3;1
Maremma;19;Roccalbenga;Cingiano;3;1
Maremma;19;Grosseto;Semproniano;2;2
Maremma;19;Pitigliano;Manciano;2;0
Maremma;19;Piancastagnaio;Monte Argentario;2;1
Maremma;19;Orbetello;Scansano;1;0
Maremma;19;Castell'Azzara;Santa Fiora;1;2
Maremma;19;Capalbio;Magliano in Toscana;1;1
Maremma;20;Cingiano;Arcidosso;0;1
Maremma;20;Isola del Giglio;Capalbio;0;0
Maremma;20;Roccalbenga;Castell'Azzara;2;1
Maremma;20;Magliano in Toscana;Manciano;1;3
Maremma;20;Monte Argentario;Orbetello;2;0
Maremma;20;Grosseto;Piancastagnaio;1;0
Maremma;20;Scansano;Pitigliano;2;5
Maremma;20;Campagnatico;Santa Fiora;0;0
Maremma;20;Semproniano;Sorano;3;1
Maremma;21;Sorano;Roccalbenga;0;1
Maremma;21;Pitigliano;Isola del Giglio;0;0
Maremma;21;Arcidosso;Scansano;1;1
Maremma;21;Castell'Azzara;Campagnatico;2;1
Maremma;21;Orbetello;Grosseto;0;1
Maremma;21;Santa Fiora;Magliano in Toscana;2;1
Maremma;21;Piancastagnaio;Cingiano;1;1
Maremma;21;Castel del Piano;Monte Argentario;1;3
Maremma;21;Manciano;Semproniano;0;1
Maremma;22;Grosseto;Sorano;1;2
Maremma;22;Roccalbenga;Capalbio;0;1
Maremma;22;Magliano in Toscana;Castel del Piano;2;1
